GX304-1_55058,3-5keV,5-12keV,12-20keV
# GX 304-1,Ver 4,2013-2-22,unit:crab,created by Takagi,,
#MJD,3-5keV,error,5-12keV,error,12-20keV,error
#date,c/s/cm^2,c/s/cm^2,c/s/cm^2,c/s/cm^2,c/s/cm^2,c/s/cm^2
55316.489940,0.00440075,0.00271536,0.00427252,0.00588915,-0.0286996,0.0210762
55317.504855,0.00898876,0.00262172,0.0160508,0.00531178,-0.00627803,0.0188341
55318.519770,0.00589888,0.00262172,0.0116628,0.00531178,0.0273543,0.0197309
55319.503030,0.00533708,0.00252809,0.0170901,0.00531178,0.00179372,0.0183857
55320.486365,0.0122659,0.00280899,0.015127,0.00554273,-0.0143498,0.0188341
55321.501530,0.00973783,0.00262172,0.00623557,0.00531178,0.0044843,0.0188341
55322.072580,0.00599251,0.00683521,0.017552,0.0140878,0.0183857,0.0511211
55324.674520,0.00365169,0.00383895,0.00288684,0.00808314,-0.0242152,0.0282511
55325.499680,0.00720974,0.00299625,0.00773672,0.00577367,-0.00313901,0.0215247
55326.515320,0.00955056,0.00299625,0.00854503,0.0056582,0.00134529,0.0201794
55327.499275,0.00262172,0.00299625,0.00889145,0.00623557,-0.0152466,0.0206278
55328.483280,0.00140449,0.00271536,0.00357968,0.00542725,-0.00807175,0.0192825
55329.499090,0.000468165,0.00243446,0.00762125,0.00484988,0.0224215,0.0188341
55330.648880,0.00365169,0.00252809,0.00207852,0.00484988,-0.00672646,0.0179372
55331.625985,0.00411985,0.00280899,0.002194,0.00508083,-0.00538117,0.0188341
55332.395065,-0.00102996,0.00496255,-0.0056582,0.00969977,0.00538117,0.0372197
55336.304420,0.0114232,0.00889513,0.041224,0.0188222,-0.0367713,0.0663677
55337.288650,-0.000561798,0.010206,0.00161663,0.0167436,-0.0636771,0.0784753
55338.272910,0.00664794,0.00889513,0.0225173,0.0162818,-0.0874439,0.0600897
55339.505255,0.000468165,0.00346442,0.00427252,0.00692841,-0.0058296,0.0278027
55340.515305,0.000561798,0.00224719,0.002194,0.00473441,-0.00807175,0.0183857
55341.467760,0.000280899,0.00215356,0.00357968,0.00450346,0.0139013,0.0174888
55342.451860,-0.00243446,0.00234082,0.00034642,0.00496536,0.00358744,0.0201794
55343.467610,-0.00187266,0.00215356,0.0051963,0.00450346,0,0.0174888
55344.483330,0.00205993,0.00196629,-0.00138568,0.0039261,-0.00134529,0.0156951
55345.498925,0.000468165,0.00196629,0.00588915,0.0039261,-0.0165919,0.0147982
